,ZONEID,TIMESTAMP,LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,year,month,day,hour
43859,1,122010 12:00,229.0,34,33,20,31,36,34,33,35,16,33,30,32,30,32,30,35,32,35,28,34,32,32,34,29,33,2010,1,2,12
43860,1,122010 13:00,221.8,35,35,22,32,36,33,33,35,16,34,30,32,30,32,31,36,33,37,28,35,31,34,34,31,33,2010,1,2,13
43861,1,122010 14:00,215.4,35,44,22,33,37,33,35,36,16,34,30,34,28,32,31,37,33,37,27,35,31,34,34,31,33,2010,1,2,14
43862,1,122010 15:00,215.8,36,34,22,33,36,34,35,36,18,34,29,32,28,33,31,37,33,37,28,35,31,32,34,32,32,2010,1,2,15
43863,1,122010 16:00,221.8,35,32,22,33,36,33,34,35,16,33,29,32,28,31,30,36,32,36,27,34,30,32,34,31,31,2010,1,2,16
43864,1,122010 17:00,237.5,33,32,21,31,34,31,32,34,14,32,27,30,27,31,28,34,30,34,25,32,30,30,32,29,30,2010,1,2,17
43865,1,122010 18:00,264.9,30,31,19,28,33,30,30,32,14,30,25,28,25,30,27,32,28,33,23,31,29,28,29,27,28,2010,1,2,18
43866,1,122010 19:00,274.0,29,30,18,27,32,30,30,32,12,29,23,28,25,30,25,32,26,32,21,30,29,28,28,26,27,2010,1,2,19
43867,1,122010 20:00,275.8,28,29,17,26,31,29,29,31,12,28,23,27,25,29,24,30,25,31,21,30,28,27,28,26,27,2010,1,2,20
43868,1,122010 21:00,275.3,26,28,17,24,30,28,28,30,12,28,22,25,25,28,23,30,23,31,21,28,28,27,27,25,26,2010,1,2,21
43869,1,122010 22:00,273.0,26,28,16,23,29,27,27,29,12,27,20,25,23,28,21,29,23,30,21,27,26,26,26,24,25,2010,1,2,22
43870,1,122010 23:00,266.5,23,28,15,21,28,26,26,28,12,26,21,25,21,27,21,28,22,29,19,25,26,25,25,23,24,2010,1,2,23
43871,1,132010 0:00,259.5,20,25,14,21,28,25,26,27,10,25,20,23,21,26,21,27,21,29,19,26,25,25,23,22,23,2010,1,3,0
43872,1,132010 1:00,255.1,20,25,13,20,27,24,25,26,10,24,20,21,19,26,20,26,19,28,18,25,24,23,22,22,22,2010,1,3,1
43873,1,132010 2:00,253.6,19,23,13,16,26,24,24,25,10,24,19,21,19,25,20,25,19,27,18,24,24,21,21,21,22,2010,1,3,2
43874,1,132010 3:00,253.8,20,23,13,19,25,23,23,24,9,23,18,21,19,25,20,25,17,26,18,23,24,21,20,20,22,2010,1,3,3
43875,1,132010 4:00,256.8,19,23,12,18,25,22,23,23,9,22,17,19,19,24,19,24,15,26,18,22,23,21,20,20,21,2010,1,3,4
43876,1,132010 5:00,262.5,16,23,12,18,24,22,22,23,10,22,17,19,19,23,18,23,13,25,18,22,22,21,20,19,20,2010,1,3,5
43877,1,132010 6:00,271.3,18,23,12,17,23,22,21,22,10,21,16,19,19,23,17,23,13,25,18,22,22,21,20,20,20,2010,1,3,6
43878,1,132010 7:00,282.5,15,23,12,16,23,22,21,22,10,21,15,19,18,22,18,23,13,24,18,21,22,21,20,19,20,2010,1,3,7
43879,1,132010 8:00,293.2,16,25,12,19,23,22,22,22,9,22,15,21,19,22,19,23,16,25,18,21,22,21,21,19,21,2010,1,3,8
43880,1,132010 9:00,299.2,23,27,13,22,26,25,24,25,10,24,19,23,21,23,20,26,23,26,19,24,23,25,25,20,23,2010,1,3,9
43881,1,132010 10:00,293.5,27,28,16,27,28,27,27,30,12,26,22,25,23,24,23,29,27,28,21,27,24,25,27,23,25,2010,1,3,10
43882,1,132010 11:00,275.3,32,30,17,29,31,29,28,31,14,27,24,27,25,26,24,32,30,31,25,29,26,27,29,25,27,2010,1,3,11
43883,1,132010 12:00,255.4,33,31,18,31,33,31,29,32,14,29,26,28,27,27,27,33,31,32,27,31,28,28,30,27,28,2010,1,3,12
43884,1,132010 13:00,242.9,33,33,19,33,34,32,31,32,18,31,27,28,28,29,29,34,31,33,27,31,30,30,32,28,30,2010,1,3,13
43885,1,132010 14:00,233.2,34,34,20,33,35,33,32,35,19,32,29,30,30,30,30,35,31,34,27,33,32,32,33,31,32,2010,1,3,14
43886,1,132010 15:00,224.6,35,36,22,33,36,33,33,35,19,33,31,34,30,31,31,36,32,35,27,33,32,32,35,32,32,2010,1,3,15
43887,1,132010 16:00,222.9,35,34,22,32,35,34,33,35,19,33,31,32,30,31,31,35,32,34,27,33,33,32,34,32,33,2010,1,3,16
43888,1,132010 17:00,233.1,32,33,21,30,34,32,32,34,18,32,28,32,28,30,30,34,30,33,27,31,32,30,33,31,31,2010,1,3,17
43889,1,132010 18:00,260.0,31,32,19,28,32,30,31,32,18,31,26,30,28,30,29,32,28,32,27,30,31,30,30,29,30,2010,1,3,18
43890,1,132010 19:00,270.4,30,30,18,27,31,30,29,31,16,30,26,30,27,30,27,30,26,32,25,29,31,28,29,29,29,2010,1,3,19
43891,1,132010 20:00,273.5,28,30,17,26,31,30,30,30,14,28,25,28,27,30,27,31,23,31,23,28,30,28,28,28,29,2010,1,3,20
43892,1,132010 21:00,271.0,28,30,16,25,30,29,28,29,14,28,24,28,27,30,26,30,22,31,21,27,30,28,27,27,28,2010,1,3,21
43893,1,132010 22:00,263.0,27,29,16,24,30,28,28,29,12,28,22,27,25,30,25,30,21,31,21,26,30,28,25,26,27,2010,1,3,22
43894,1,132010 23:00,250.5,26,28,15,23,29,27,27,28,12,27,21,27,23,29,23,29,20,31,21,27,29,27,25,24,26,2010,1,3,23
43895,1,142010 0:00,240.8,25,28,15,23,28,26,26,28,12,26,20,25,21,28,23,29,20,30,21,25,28,27,24,23,25,2010,1,4,0
43896,1,142010 1:00,235.6,23,27,14,22,28,25,25,27,12,26,20,25,21,28,22,28,17,29,21,25,27,25,24,22,23,2010,1,4,1
43897,1,142010 2:00,235.6,23,26,13,22,27,25,25,26,12,25,19,25,21,27,21,27,17,28,21,25,26,25,22,22,23,2010,1,4,2
43898,1,142010 3:00,237.6,22,25,12,21,26,24,24,25,12,24,18,23,19,26,20,26,16,27,21,24,26,23,21,22,23,2010,1,4,3
43899,1,142010 4:00,242.3,21,23,12,19,26,24,24,24,12,23,19,21,21,26,20,24,15,27,21,23,26,21,19,21,21,2010,1,4,4
43900,1,142010 5:00,249.1,21,22,12,19,25,23,23,23,12,22,15,19,19,25,18,24,14,26,21,23,24,21,18,21,21,2010,1,4,5
43901,1,142010 6:00,265.2,17,21,13,19,23,22,22,23,10,21,17,21,19,25,18,23,14,25,21,21,24,21,17,19,20,2010,1,4,6
43902,1,142010 7:00,289.1,20,20,13,18,22,22,21,22,12,21,17,19,19,24,16,23,13,25,21,20,23,21,17,17,20,2010,1,4,7
43903,1,142010 8:00,287.2,18,22,13,19,20,23,23,21,12,21,18,21,19,25,16,24,13,27,21,21,23,21,17,18,20,2010,1,4,8
43904,1,142010 9:00,267.5,25,24,15,23,25,26,25,25,14,24,23,25,23,26,21,26,12,29,25,25,25,25,23,22,24,2010,1,4,9
43905,1,142010 10:00,247.9,29,28,17,27,28,30,28,28,16,28,26,28,27,28,26,29,18,31,27,28,28,27,29,25,27,2010,1,4,10
43906,1,142010 11:00,229.2,32,32,19,29,31,32,30,31,18,30,29,30,28,29,29,32,23,33,28,30,29,30,31,28,30,2010,1,4,11
43907,1,142010 12:00,212.9,35,36,21,33,33,34,32,33,18,33,31,34,30,30,30,34,27,35,30,33,31,32,34,30,32,2010,1,4,12
43908,1,142010 13:00,196.9,36,36,22,35,35,36,34,35,19,34,33,36,34,31,32,36,30,36,30,34,33,34,35,33,33,2010,1,4,13
43909,1,142010 14:00,186.7,38,37,22,37,36,38,36,36,19,35,34,37,34,32,34,38,33,37,30,35,34,36,37,34,35,2010,1,4,14
43910,1,142010 15:00,181.6,38,37,22,38,37,38,36,37,19,35,34,37,34,32,35,39,34,39,30,36,35,36,38,35,35,2010,1,4,15
43911,1,142010 16:00,184.9,38,36,21,37,38,37,36,38,19,35,33,37,34,32,35,38,35,38,30,35,35,36,38,35,35,2010,1,4,16
43912,1,142010 17:00,201.8,37,36,21,36,36,34,33,36,18,34,31,36,32,30,33,36,36,35,28,34,34,32,36,34,33,2010,1,4,17
43913,1,142010 18:00,236.8,33,28,20,32,33,31,30,33,18,32,29,34,30,30,29,32,33,33,27,30,33,30,31,32,30,2010,1,4,18
43914,1,142010 19:00,255.6,30,28,20,30,29,31,30,29,18,28,27,32,28,31,29,32,30,32,25,28,32,27,27,31,25,2010,1,4,19
43915,1,142010 20:00,259.5,31,28,19,28,28,29,26,29,18,27,26,30,28,31,28,29,27,31,25,26,32,27,28,30,28,2010,1,4,20
43916,1,142010 21:00,258.8,29,28,20,26,27,27,26,30,18,26,25,28,27,31,27,29,26,31,25,24,31,28,29,29,28,2010,1,4,21
43917,1,142010 22:00,252.0,28,28,20,25,26,25,26,31,18,27,24,28,27,31,27,27,24,31,25,26,31,27,28,27,28,2010,1,4,22
43918,1,142010 23:00,239.3,27,28,19,24,26,27,26,30,18,28,22,27,25,31,25,27,23,31,27,23,30,27,27,26,28,2010,1,4,23
43919,1,152010 0:00,228.3,26,27,19,23,25,25,26,29,18,28,20,27,25,31,23,29,22,32,25,24,30,27,26,26,26,2010,1,5,0
43920,1,152010 1:00,223.2,24,25,19,23,25,25,26,28,18,26,20,27,23,30,24,28,19,30,25,23,29,25,25,25,25,2010,1,5,1
43921,1,152010 2:00,223.8,22,25,18,22,24,25,25,28,18,26,21,27,21,29,21,27,18,30,27,23,28,25,24,23,24,2010,1,5,2
43922,1,152010 3:00,226.8,22,23,18,20,23,23,24,26,18,25,20,25,21,28,20,23,16,29,25,21,28,25,22,20,23,2010,1,5,3
43923,1,152010 4:00,231.7,21,23,17,20,23,23,23,25,18,23,21,21,19,28,19,25,15,28,27,21,28,23,20,19,22,2010,1,5,4
43924,1,152010 5:00,240.9,20,21,16,21,23,23,22,23,17,21,23,21,19,27,20,26,14,27,27,20,26,21,19,20,21,2010,1,5,5
43925,1,152010 6:00,257.8,19,21,16,20,22,22,22,22,16,21,22,21,19,27,20,24,14,27,27,21,25,21,19,19,19,2010,1,5,6
43926,1,152010 7:00,284.2,18,16,15,18,21,22,21,22,16,20,22,23,19,27,20,24,13,26,25,20,24,21,18,18,18,2010,1,5,7
43927,1,152010 8:00,283.5,19,25,15,20,20,24,22,23,16,22,24,25,23,27,21,24,12,27,25,22,25,21,19,17,20,2010,1,5,8
43928,1,152010 9:00,260.6,26,27,16,25,20,27,27,27,17,26,27,27,25,28,25,29,11,29,27,26,28,27,25,23,24,2010,1,5,9
43929,1,152010 10:00,238.2,31,30,18,29,25,31,30,31,17,30,28,28,30,30,30,32,17,33,27,31,31,30,33,28,30,2010,1,5,10
43930,1,152010 11:00,217.8,33,37,21,30,29,34,33,33,18,33,30,32,30,31,31,34,22,35,28,33,32,34,34,30,33,2010,1,5,11
43931,1,152010 12:00,204.1,34,34,22,34,33,36,35,36,19,35,32,36,32,31,32,36,26,36,30,35,31,34,36,31,33,2010,1,5,12
43932,1,152010 13:00,194.2,36,33,23,35,35,35,36,36,19,36,33,36,32,32,33,37,29,38,32,37,33,34,37,32,35,2010,1,5,13
43933,1,152010 14:00,190.3,38,35,24,38,37,37,36,38,21,35,34,36,34,33,34,38,32,39,30,37,34,34,36,33,33,2010,1,5,14
43934,1,152010 15:00,187.5,37,36,23,37,38,36,36,38,19,36,34,37,34,33,35,39,33,39,32,36,34,34,38,35,34,2010,1,5,15
43935,1,152010 16:00,190.9,38,37,23,35,38,36,35,38,19,35,33,37,34,33,34,38,34,38,30,36,34,34,38,35,34,2010,1,5,16
43936,1,152010 17:00,207.2,36,34,22,34,38,33,33,36,19,34,31,36,30,32,33,37,35,36,28,34,34,32,36,34,34,2010,1,5,17
43937,1,152010 18:00,240.1,33,30,21,31,35,29,31,33,19,32,29,34,30,32,29,34,33,34,27,30,32,30,33,32,31,2010,1,5,18
43938,1,152010 19:00,256.7,32,28,21,30,32,29,29,32,19,31,28,32,28,31,28,33,30,32,27,28,32,28,30,30,30,2010,1,5,19
43939,1,152010 20:00,259.9,32,29,21,29,30,27,28,31,19,28,27,30,28,31,29,30,28,31,27,25,31,28,30,30,29,2010,1,5,20
43940,1,152010 21:00,259.2,30,28,21,27,29,29,27,31,19,27,26,30,28,31,28,30,26,30,27,26,31,28,30,29,30,2010,1,5,21
43941,1,152010 22:00,252.4,29,28,20,26,28,30,29,32,19,29,25,30,27,31,27,32,25,31,27,26,31,28,29,29,29,2010,1,5,22
43942,1,152010 23:00,240.3,28,27,20,25,27,30,28,31,19,29,26,28,27,31,26,31,24,31,27,26,31,28,28,27,28,2010,1,5,23
43943,1,162010 0:00,228.7,28,27,20,23,27,28,28,30,19,29,25,28,27,30,26,31,24,30,27,26,30,27,28,26,28,2010,1,6,0
43944,1,162010 1:00,222.9,27,25,19,23,26,27,27,29,18,28,23,27,27,30,24,29,21,30,27,24,29,27,27,26,27,2010,1,6,1
43945,1,162010 2:00,221.9,28,24,19,23,25,27,27,28,18,27,24,27,25,29,25,29,20,30,27,23,29,27,26,24,27,2010,1,6,2
43946,1,162010 3:00,225.5,27,23,17,22,25,25,25,28,18,26,24,27,25,28,25,29,19,29,27,24,29,27,25,21,26,2010,1,6,3
43947,1,162010 4:00,228.9,27,23,17,21,24,25,25,28,18,25,24,27,25,28,25,29,18,28,25,23,28,25,24,20,25,2010,1,6,4
43948,1,162010 5:00,236.7,26,22,16,20,24,25,25,28,18,24,23,27,25,27,24,29,17,27,25,23,27,25,23,22,24,2010,1,6,5
43949,1,162010 6:00,252.6,24,21,16,20,24,25,24,27,16,24,24,27,25,27,24,25,16,27,25,22,27,25,22,19,24,2010,1,6,6
43950,1,162010 7:00,278.8,21,21,16,20,22,25,23,27,16,22,24,27,25,27,23,25,15,26,25,22,27,25,21,20,20,2010,1,6,7
43951,1,162010 8:00,276.4,22,20,16,22,21,26,24,26,16,22,24,27,25,27,24,25,15,28,25,23,27,25,22,22,21,2010,1,6,8
43952,1,162010 9:00,253.7,27,20,18,26,21,29,28,30,18,28,27,28,28,29,27,30,14,31,27,27,29,28,28,27,27,2010,1,6,9
43953,1,162010 10:00,235.5,32,25,21,30,26,34,32,32,18,31,30,32,30,30,31,33,21,33,30,32,32,30,33,31,31,2010,1,6,10
43954,1,162010 11:00,215.6,36,28,23,34,30,37,35,35,19,34,33,34,36,32,34,35,25,36,32,34,35,34,36,33,34,2010,1,6,11
43955,1,162010 12:00,200.8,39,31,25,36,33,39,37,36,21,37,35,36,37,34,36,38,30,38,34,36,36,36,38,36,36,2010,1,6,12
43956,1,162010 13:00,184.7,41,34,28,38,35,41,38,38,23,39,37,37,37,34,37,39,33,41,34,39,36,37,40,37,39,2010,1,6,13
43957,1,162010 14:00,175.3,42,35,29,40,37,42,40,40,23,40,37,39,39,35,39,42,36,42,34,40,39,39,41,40,40,2010,1,6,14
43958,1,162010 15:00,170.0,43,36,30,40,38,43,41,40,25,41,37,39,39,35,40,42,37,42,34,40,40,39,42,40,40,2010,1,6,15
43959,1,162010 16:00,172.5,43,37,30,40,38,42,40,42,23,41,36,39,37,35,39,41,38,42,34,40,40,39,42,40,40,2010,1,6,16
43960,1,162010 17:00,186.2,39,37,29,38,38,39,39,40,21,39,34,37,36,34,36,39,39,39,30,38,39,37,40,38,39,2010,1,6,17
43961,1,162010 18:00,219.2,36,35,26,35,35,35,35,38,19,36,31,36,34,34,33,36,37,37,28,34,39,36,36,35,36,2010,1,6,18
43962,1,162010 19:00,237.8,36,31,25,32,32,35,31,35,19,32,30,34,32,34,32,34,34,37,28,31,38,32,34,34,34,2010,1,6,19
43963,1,162010 20:00,241.0,32,30,23,30,35,34,30,35,19,33,29,34,30,34,30,33,31,36,27,30,36,32,33,32,33,2010,1,6,20
43964,1,162010 21:00,242.3,28,29,22,30,35,34,31,35,19,30,28,32,30,34,29,31,30,36,27,30,35,30,29,31,32,2010,1,6,21
43965,1,162010 22:00,236.1,26,28,22,28,33,33,31,33,19,32,26,30,28,34,28,31,29,35,27,29,34,30,29,30,31,2010,1,6,22
43966,1,162010 23:00,224.2,23,28,21,26,32,32,30,32,19,30,25,28,28,34,29,33,28,34,27,28,33,30,29,29,29,2010,1,6,23
43967,1,172010 0:00,213.1,22,27,21,28,31,30,29,31,19,28,24,28,27,33,27,33,27,34,27,28,32,28,27,28,28,2010,1,7,0
43968,1,172010 1:00,208.0,21,26,21,22,30,28,29,30,19,29,23,27,27,32,26,31,24,33,27,27,31,28,28,28,28,2010,1,7,1
43969,1,172010 2:00,207.8,19,25,22,23,28,28,28,28,19,28,21,25,27,31,27,30,23,32,23,27,30,28,27,28,27,2010,1,7,2
43970,1,172010 3:00,211.1,18,24,23,19,27,25,28,27,23,28,22,24,26,31,25,29,22,31,24,28,30,28,24,26,26,2010,1,7,3
43971,1,172010 4:00,215.5,17,23,22,20,21,24,27,25,27,27,21,23,25,30,24,26,21,30,25,26,29,27,25,25,26,2010,1,7,4
43972,1,172010 5:00,224.4,18,23,23,21,25,25,26,25,27,26,19,21,25,29,24,26,20,30,23,27,28,27,25,24,25,2010,1,7,5
43973,1,172010 6:00,241.9,17,22,23,21,22,22,25,22,27,24,20,21,25,29,23,27,19,29,25,27,28,25,23,24,25,2010,1,7,6
43974,1,172010 7:00,269.0,17,22,23,20,20,23,25,21,27,23,21,21,23,28,22,24,18,29,25,26,29,21,22,20,24,2010,1,7,7
43975,1,172010 8:00,269.6,17,21,21,22,22,26,25,22,27,23,21,19,25,29,21,25,18,30,25,27,30,25,21,23,23,2010,1,7,8
43976,1,172010 9:00,245.9,24,21,24,28,29,30,30,29,28,28,27,25,27,31,26,30,17,33,28,31,32,28,29,27,28,2010,1,7,9
43977,1,172010 10:00,222.5,32,27,27,33,33,34,33,33,28,32,32,32,30,32,32,36,24,36,30,34,34,32,33,32,32,2010,1,7,10
43978,1,172010 11:00,199.8,37,31,31,38,41,36,36,36,28,36,36,36,34,33,34,38,29,39,34,37,35,34,37,35,34,2010,1,7,11
43979,1,172010 12:00,183.1,42,35,35,41,43,38,38,40,28,39,40,39,36,34,39,41,33,41,34,40,37,37,41,38,37,2010,1,7,12
43980,1,172010 13:00,169.3,46,38,37,43,44,40,42,42,28,42,41,45,37,34,42,44,37,41,37,43,38,39,45,43,39,2010,1,7,13
43981,1,172010 14:00,159.4,49,40,40,46,46,41,44,45,28,44,44,46,39,35,44,46,39,42,37,44,39,41,47,45,41,2010,1,7,14
43982,1,172010 15:00,154.5,49,41,40,46,47,41,45,46,28,45,43,46,43,36,46,47,41,42,39,45,40,41,47,46,42,2010,1,7,15
43983,1,172010 16:00,157.4,48,42,39,45,47,41,45,46,28,45,43,45,43,37,46,47,42,42,39,46,40,43,47,44,43,2010,1,7,16
43984,1,172010 17:00,171.6,47,42,37,44,46,36,42,44,27,43,42,44,39,36,41,43,43,41,37,42,39,37,45,43,38,2010,1,7,17
43985,1,172010 18:00,205.2,45,39,36,43,43,37,38,40,27,41,42,43,36,34,38,41,41,40,36,38,37,34,44,41,33,2010,1,7,18
43986,1,172010 19:00,225.6,46,36,34,43,41,34,38,40,27,40,41,45,37,35,40,40,37,43,36,38,33,36,43,41,36,2010,1,7,19
43987,1,172010 20:00,228.3,46,34,33,42,41,32,38,41,32,40,41,45,37,35,41,39,35,44,35,39,33,37,43,42,38,2010,1,7,20
43988,1,172010 21:00,224.3,46,33,33,42,41,36,39,41,28,41,41,45,37,37,41,40,34,45,34,39,36,39,43,42,39,2010,1,7,21
43989,1,172010 22:00,213.4,46,33,31,41,42,36,39,42,30,41,41,45,37,38,41,42,32,46,34,39,37,39,44,42,39,2010,1,7,22
43990,1,172010 23:00,198.5,45,32,30,39,42,36,39,40,27,41,38,45,37,38,42,44,31,47,34,41,36,39,44,42,40,2010,1,7,23
43991,1,182010 0:00,183.4,44,32,28,36,41,37,39,40,25,41,36,43,37,39,42,43,31,48,34,40,35,39,44,42,39,2010,1,8,0
43992,1,182010 1:00,173.7,40,30,27,35,42,38,37,42,27,41,35,39,37,39,39,43,27,48,34,40,36,39,43,40,41,2010,1,8,1
43993,1,182010 2:00,168.8,39,29,26,35,43,38,40,43,25,42,35,39,36,41,37,43,26,47,34,41,38,39,43,38,41,2010,1,8,2
43994,1,182010 3:00,167.8,39,28,22,35,44,39,40,43,21,42,35,37,34,37,36,44,25,47,34,43,35,39,40,37,40,2010,1,8,3
43995,1,182010 4:00,170.4,39,28,19,35,44,39,41,42,18,40,34,37,34,36,35,45,24,47,32,42,34,39,40,37,37,2010,1,8,4
43996,1,182010 5:00,175.7,38,27,16,34,43,40,43,42,14,39,32,37,34,37,35,45,23,48,28,42,35,37,41,36,38,2010,1,8,5
43997,1,182010 6:00,187.8,38,26,14,34,43,39,42,42,12,39,31,36,34,41,35,44,22,46,27,41,36,37,40,36,38,2010,1,8,6
43998,1,182010 7:00,206.3,37,26,12,28,42,37,41,40,9,39,28,34,32,41,33,43,22,45,21,41,35,37,39,35,37,2010,1,8,7
43999,1,182010 8:00,211.9,34,25,10,26,41,37,41,40,7,39,26,30,28,39,31,42,21,45,21,41,36,37,38,33,36,2010,1,8,8
44000,1,182010 9:00,209.2,32,25,11,26,40,38,41,40,7,39,23,30,28,38,29,43,20,44,21,41,36,37,36,32,36,2010,1,8,9
44001,1,182010 10:00,203.2,32,29,12,27,41,41,41,40,9,40,23,28,28,38,29,42,26,45,21,41,38,37,36,31,33,2010,1,8,10
44002,1,182010 11:00,195.6,33,32,14,27,42,42,41,38,9,37,24,28,28,38,29,42,30,43,21,42,35,36,37,29,34,2010,1,8,11
44003,1,182010 12:00,190.1,33,34,14,28,39,41,40,40,12,38,25,28,28,38,29,43,33,45,23,43,37,36,36,30,35,2010,1,8,12
44004,1,182010 13:00,182.4,33,36,16,27,41,40,41,40,12,37,26,28,28,39,30,44,24,46,25,42,36,37,35,31,34,2010,1,8,13
44005,1,182010 14:00,179.9,33,38,17,30,40,39,41,39,12,34,27,28,28,39,30,44,25,45,25,42,34,34,34,30,33,2010,1,8,14
